file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0001_0118_868362_to_876495,ཡིན་ན་ཡང་ཁ་ལག་བཟོ་ཡ་དགའ་ཤོས་དེ་ག་རེ་རེད་ལབ་ན་ཡོད་བ། ཐུག་པ། ཧཧ། ཐུག་པ་དེ་ལས་སླ་ཤོས་འདྲ་བོ། དེའི་སྒང་ལ་མི་ཚང་མ་གིས་ད་ཐུག་པ་ལ་ཡག་པོ་བྱེད་གི་འདུག་ར་ཡ།  ,yin na yang kha lag bzo ya dga' shos de ga re red lab na yod ba/_thug pa/_haha/_thug pa de las sla shos 'dra bo/_de'i sgang la mi tshang ma gis da thug pa la yag po byed gi 'dug ra ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0118_868362_to_876495.wav,STT_NS,3,148,8.133,wav16k/STT_NS0001_0118_868362_to_876495.wav,ཡིན་ནས་ཁ་ལག་བཟོ་ཡ་དགའ་ཤོས་དེ་ག་རེ་ལབ་ན་ཡ།ཐུག་པ། ཧཧཧཐུག་པ་དེ་ལས་སླ་ཤོས་འདྲ་བོ་དེའི་སྒང་ནས་མི་ཚང་མ་གི་ད་ཐུག་པ་དེ་ཡག་པོ་བྱེད་ཀི་འདུག་རེད་ཡ།
STT_NS0001_0119_876816_to_885405,ང་རང་འདྲ་བོ་ཡིན་ན། བོད་ལ་ཡིན་ན། ཐུག་པ་ཡ་ཞེ་དྲག་ཟ་མྱོང་མེད་ད། བོད་ནང་ཡིན་ན་ང་ཁ་ལག་བཟོ་མྱོང་མེད། འདི་ལ་སླེབས་ནས། ང་ད་གུང་གསེང་ལ་མི་ནང་ལ་གུང་གསེང་ལ་འགྲོ་གི་རེད་བ། དེ་དུས་ཙམ་པ།  ,nga rang 'dra bo yin na/_bod la yin na/_thug pa ya zhe drag za myong med da/_bod nang yin na nga kha lag bzo myong med/_'di la slebs nas/_nga da gung gseng la mi nang la gung gseng la 'gro gi red ba/_de dus tsam pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0119_876816_to_885405.wav,STT_NS,3,174,8.589,wav16k/STT_NS0001_0119_876816_to_885405.wav,ང་རང་འདྲ་བོ་ཡིན་ན་བོད་ལ་ཡིན་ན་ཐུག་པ་ཡད་ཞེ་དྲག་བཟོ་མྱོང་མེད་ད། དཔེར་ན་ཡིན་ན་ང་ཁ་ལག་བཟོ་མྱོང་མེད། འདེ་ལ་སླེབས་ནས་ང་ད་གུང་སེང་ལ་མི་ནང་ལ་གུང་སེང་འགྲོ་གི་རཱ དེ་དུས་ཙམ་པ།
STT_NS0001_0120_885405_to_893995,ཨེ་ནས། འང་ད། ཕར་བསླབས་བྱས་ནས་དེ་ལ་ངས་ཁ་ཟ་བཟོ་སྟངས་ཡག་པོ་ཤེས་སོང་རེད་བ་ཡ། ཨེ་ནས། ཐུག་པ་བཟོ་སྟངས་དང་། ཐུག་པ་ཟ་ད་ཁ་ལག་བཟོ་སྟངས་ལ་།  ,e nas/_'ang da/_phar bslabs byas nas de la ngas kha za bzo stangs yag po shes song red ba ya/_e nas/_thug pa bzo stangs dang /_thug pa za da kha lag bzo stangs la /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0120_885405_to_893995.wav,STT_NS,3,129,8.59,wav16k/STT_NS0001_0120_885405_to_893995.wav,ཨེ་ནས་ད་ཕར་བསླབ་བྱས་ནས་ཨེ་ནསདེ་ལ་ཁ་ལག་བཟོ་སྟངས་ཡག་པོ་ཤེ་སོང་རེད་བ་ཡ། ཨེ་ནས་ཐུག་པ་བཟོ་སྟངས་དང་ཐུག་པ་ཟ་ད་ཁ་ལག་བཟོ་སྟངས་ལ།་
STT_NS0001_0121_893995_to_902584,ཐུག་པ་ནས་བྱས། མགོ་བཙུགས་ནས། ཨེ་ནས། ཁ་ལག་བཟོ་སྟངས་དེ་སོ་སོ་དགའ་བོ་འདྲ་བོ་ཆགས་སོང་རེད་བ་ཡ། ཡིན་ནས་ངས་བཟོས་པ་དེ་མི་གང་ཚང་མ་དགའ་བོ་ཡོད་བ་ད་ཁྱབ་བ་ཡོད་མ་རེད་དེ་ལས།  ,thug pa nas byas/_mgo btsugs nas/_e nas/_kha lag bzo stangs de so so dga' bo 'dra bo chags song red ba ya/_yin nas ngas bzos pa de mi gang tshang ma dga' bo yod ba da khyab ba yod ma red de las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0121_893995_to_902584.wav,STT_NS,3,159,8.589,wav16k/STT_NS0001_0121_893995_to_902584.wav,ཐུག་པ་ནས་བྱས་འགོ་བཙུགས་ནས་ཨེ་ནས་ཁ་ལག་བཟོ་སྟངས་དེ་ད་སོ་སོ་དགའ་བོ་འདྲ་བོ་ཆགས་སོང་རེད་ཡ། ཡིན་ནས་ངས་བཟེར་བ་དེ་མི་ང་་ཚང་མ་དགའ་བོ་ཡོད་པ་ད་ྱཁྱབ་པ་ཡོད་མ་རེད་དེ་ལས་
STT_NS0001_0122_902635_to_906128,ཡིན་ནས་ང་རང་གིས་ད། ང་རང་ང་རང་སོ་སོ་གསོ་ཐུབ་ཡ་ཅིག་བཟོ་ཐུབ་ཡ་གི ཨེ་ནས།  ,yin nas nga rang gis da/_nga rang nga rang so so gso thub ya cig bzo thub ya gi_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0122_902635_to_906128.wav,STT_NS,3,70,3.493,wav16k/STT_NS0001_0122_902635_to_906128.wav,ཡིན་ནས་ང་རང་གིས་ད་ང་རང་ང་རང་ཚོ་གསོ་ཐུབ་སྩི་དེ་ད་བཟོ་ཐུབ་ཡ་གི་ཨེ་ནས།
STT_NS0001_0123_906668_to_909452,ད་ཆགས་སོང་ཟེར་ལབ་ཡ་ཡིན་རེད་བ། ཨེ་ནས། གཉིས་པ་དེ་ག་རེ་ལབ་ན ,da chags song zer lab ya yin red ba/_e nas/_gnyis pa de ga re lab na_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0123_906668_to_909452.wav,STT_NS,3,57,2.784,wav16k/STT_NS0001_0123_906668_to_909452.wav,ད་ཆགས་སོང་ཟེར་ལབ་ཡ་ཡིན་རེད་། ཨེ་ནས་གཉིས་པ་དེ་ག་རེ་ལབ་ན།
STT_NS0001_0124_909756_to_916624,ད་གཞས་གཏོང་ཡ་ལ་ཡ། དགའ་ཕྱོགས་གཅིག་ག་རེ་ལབ་ན་གཞས་གཏོང་དགའ་བོ་ཡོད་རེད་བ། ཡིན་ན་ཡང་། བློ་ཁོག་མ་འདང་བ་བྱས། ཡར་སྡིངས་ཆའི་སྒང་ལ་ལང་གི་མེད།  ,da gzhas gtong ya la ya/_dga' phyogs gcig ga re lab na gzhas gtong dga' bo yod red ba/_yin na yang /_blo khog ma 'dang ba byas/_yar sdings cha'i sgang la lang gi med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0124_909756_to_916624.wav,STT_NS,3,133,6.868,wav16k/STT_NS0001_0124_909756_to_916624.wav,ད་གཞས་གཏང་ཡ་རེད་ཡ། དགའ་ཕྱོགས་གཅིག་ག་རེ་ལབ་ན་གཞས་གཏང་ཡ་དགའ་བོ་ཡོད་རེད་། ཡིན་ནས་ཡང་བློ་ཁོག་མ་བཏང་བ་བྱས་ཡསྡིངས་ཆ་སྒང་ལ་ལངས་གི་མེད།
STT_NS0001_0125_917215_to_925349,ག་རེ་བྱས་ན། ང་རང་གཞས་བོད་ལ་བསྡད་དུས་ནི་ནང་ལ། གཞས་གཏོང་ཡ་དགའ་བོ་ཡོད། གཞས་འཁྲབ་ཡ་དགའ་བོ་ཡོད། ད་དེ་ལ་ཏོག་ཙི་རྒས་འཁོགས་འདྲ་བོ་ཆགས་སོང་ཡ། མ་གཞི། ཧཧཧ། ཧེཧེ ,ga re byas na/_nga rang gzhas bod la bsdad dus ni nang la/_gzhas gtong ya dga' bo yod/_gzhas 'khrab ya dga' bo yod/_da de la tog tsi rgas 'khogs 'dra bo chags song ya/_ma gzhi/_hahaha/_hehe_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0125_917215_to_925349.wav,STT_NS,3,150,8.134,wav16k/STT_NS0001_0125_917215_to_925349.wav,ག་རེ་བྱས་ནས་ལབ་ན་ང་རང་གཞས་བོད་ལ་བལྟ་ནི་་གཞས་གཏང་ཡ་དགའ་བོ་ཡོད། གཞས་འཁྲབ་ཡ་དགའ་བོ་ཡོད། ད་དེ་ལ་ཏོག་ཙི་ཡོང་གོ་འདྲ་བོ་ཆགས་སོང་བ་མ་གཞི། ཧ་ཧ་ཧ།
STT_NS0001_0126_925349_to_933482,ཧཧ། འོ་དེ་ལབ་ཡིན། བོད་ལ་ཡིན་ན་ཡ་གཞས་འཁྲབ་ག་འགྲོ་གི་ཡོད། གཏོང་ག་འགྲོ་གི་ཡོད། ཨེ་ནས། རྣམ་ཐར་གི་ཀ་ཅི་རྒན་ལགས་ཅིག་འདུག་ག ཨོ་དེ་ང་ཚོས་ཐེངས་མ་གཅིག་སྦྱོང་མྱོང་ཡོད་རེད་བ་ཡ།  ,haha/_'o de lab yin/_bod la yin na ya gzhas 'khrab ga 'gro gi yod/_gtong ga 'gro gi yod/_e nas/_rnam thar gi ka ci rgan lags cig 'dug ga_o de nga tshos thengs ma gcig sbyong myong yod red ba ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0126_925349_to_933482.wav,STT_NS,3,166,8.133,wav16k/STT_NS0001_0126_925349_to_933482.wav,འོ་ལ་ཡོད། བོད་ལ་ཡིན་ན་ཡ་གཞས་འཁྲབ་ག་འགྲོ་གི་ཡོད། གཏང་ག་འགྲོ་གི་ཡོད། ཨེ་ནས་རྣམ་ཐར་ཞིག་ཡོད་བ་རྒན་ལགས་ཅིག་འདུག་བ། འོ་དེ་ང་ཚོ་ཐེངས་མ་གཅིག་སྦྱང་མྱོང་ཡོད་རེད་ཡ།
STT_NS0001_0127_933482_to_941616,ང་ཚོའི་རི་སྒང་ལ་ཆུ་ཡོད་ཨ། དེའི་སྒང་ལ་སྐད་སྦྱོང་ག་འགྲོ་གི་རེད། འང་ཧང་། རྣམ་ཐར་འཁྲབ་ཡ་དང་། གཏོང་ཡ་དེ་ཚོ་ང་ཚོ་ཡིན་ན་ཀམ་པི་ཋེ་ག་རེ་ད་འགྲན་བསྡུར་འདུག་ག ,nga tsho'i ri sgang la chu yod a/_de'i sgang la skad sbyong ga 'gro gi red/_'ang hang /_rnam thar 'khrab ya dang /_gtong ya de tsho nga tsho yin na kam pi The ga re da 'gran bsdur 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0001_0127_933482_to_941616.wav,STT_NS,3,147,8.134,wav16k/STT_NS0001_0127_933482_to_941616.wav,ང་ཚོ་རིའི་སྒང་ལ་ཆུ་ཡོད་བ་དེའི་སྒང་ལ་སྐད་སྦྱང་ག་འགྲོ་གི་རེད། ཨུན་ཧུན། རྣམ་ཐར་འཁྲབ་ཡ་དང་གཏང་ཡ་དེ་ཚོ་ང་ཚོ་ཡིན་ན་ཀམ་པུ་ཊ་ག་རེ་ད་འགྲན་བསྡུར་འདུག་བ།
